order_id,order_date,ship_date,customer_id,region_id
US-2014-100853,2014-09-14,2014-09-19,JB-15400,3
US-2017-152366,2017-04-21,2017-04-25,SJ-20500,3
US-2015-101511,2015-11-21,2015-11-23,JE-15745,4
CA-2015-137225,2015-12-15,2015-12-19,JK-15640,4
CA-2014-166191,2014-12-05,2014-12-09,DK-13150,3
CA-2014-158274,2014-11-19,2014-11-24,RM-19675,1
CA-2016-105018,2016-11-28,2016-12-02,SK-19990,4
CA-2014-123260,2014-08-26,2014-08-30,FM-14290,2
CA-2016-157000,2016-07-16,2016-07-22,AM-10360,3
CA-2015-102281,2015-10-12,2015-10-14,MP-17470,4
CA-2015-131457,2015-10-31,2015-11-06,MZ-17515,2
CA-2014-140004,2014-03-21,2014-03-25,CB-12025,4
CA-2017-107720,2017-11-06,2017-11-13,VM-21685,4
US-2017-124303,2017-07-06,2017-07-13,FH-14365,4
CA-2017-105074,2017-06-24,2017-06-29,MB-17305,4
CA-2014-133690,2014-08-03,2014-08-05,BS-11755,2
US-2017-116701,2017-12-17,2017-12-21,LC-17140,3
CA-2017-126382,2017-06-03,2017-06-07,HK-14890,1
CA-2017-108329,2017-12-09,2017-12-14,LE-16810,2
CA-2017-135860,2017-12-01,2017-12-07,JH-15985,3
CA-2015-101007,2015-02-09,2015-02-13,MS-17980,3
CA-2015-146262,2015-01-02,2015-01-09,VW-21775,4
CA-2016-130162,2016-10-28,2016-11-01,JH-15910,2
CA-2015-169397,2015-12-24,2015-12-27,JB-15925,4
CA-2015-163055,2015-08-09,2015-08-16,DS-13180,3
US-2015-145436,2015-02-28,2015-03-04,VD-21670,1
US-2014-156216,2014-09-13,2014-09-17,EA-14035,1
US-2017-100930,2017-04-07,2017-04-12,CS-12400,1
CA-2017-160514,2017-11-12,2017-11-16,DB-13120,2
CA-2016-157749,2016-06-04,2016-06-09,KL-16645,3
CA-2014-131926,2014-06-01,2014-06-06,DW-13480,3
CA-2016-154739,2016-12-10,2016-12-15,LH-17155,2
CA-2016-145625,2016-09-11,2016-09-17,KC-16540,2
CA-2016-146941,2016-12-10,2016-12-13,DL-13315,4
US-2015-159982,2015-11-28,2015-12-04,DR-12880,3
CA-2017-163139,2017-12-01,2017-12-03,CC-12670,4
US-2017-155299,2017-06-08,2017-06-12,Dl-13600,3
US-2014-106992,2014-09-19,2014-09-21,SB-20290,3
CA-2016-125318,2016-06-06,2016-06-13,RC-19825,3
CA-2015-155040,2015-11-10,2015-11-15,AH-10210,2
CA-2017-136826,2017-06-16,2017-06-20,CB-12535,1
CA-2016-111010,2016-01-22,2016-01-28,PG-18895,4
US-2017-145366,2017-12-09,2017-12-13,CA-12310,4
CA-2017-163979,2017-12-28,2018-01-02,KH-16690,2
CA-2015-155334,2015-07-30,2015-07-31,HA-14920,2
CA-2017-118136,2017-09-16,2017-09-17,BB-10990,2
CA-2017-132976,2017-10-13,2017-10-17,AG-10495,4
US-2015-161991,2015-09-26,2015-09-28,SC-20725,3
CA-2015-130890,2015-11-02,2015-11-06,JO-15280,2
CA-2015-130883,2015-09-26,2015-10-02,TB-21520,2
CA-2016-112697,2016-12-18,2016-12-20,AH-10195,1
CA-2016-110772,2016-11-20,2016-11-24,NZ-18565,4
CA-2014-111451,2014-12-26,2014-12-28,KL-16555,2
CA-2016-142545,2016-10-28,2016-11-03,JD-15895,4
US-2017-152380,2017-11-19,2017-11-23,JH-15910,3
CA-2015-144253,2015-05-04,2015-05-09,AS-10225,4
CA-2014-130960,2014-12-30,2015-01-04,KB-16600,3
CA-2014-111003,2014-06-01,2014-06-06,CR-12625,4
CA-2017-126774,2017-04-15,2017-04-17,SH-20395,1
CA-2016-142902,2016-09-12,2016-09-14,BP-11185,2
CA-2014-120887,2014-09-27,2014-10-03,TS-21205,4
CA-2014-167850,2014-08-09,2014-08-16,AG-10525,1
CA-2014-164259,2014-12-28,2014-12-30,SP-20860,4
CA-2014-164973,2014-11-04,2014-11-09,NM-18445,4
CA-2014-156601,2014-09-19,2014-09-24,FA-14230,2
CA-2016-162138,2016-04-23,2016-04-27,GK-14620,2
CA-2017-153339,2017-11-03,2017-11-05,DJ-13510,1
US-2016-141544,2016-08-30,2016-09-01,PO-18850,4
US-2016-150147,2016-04-25,2016-04-29,JL-15850,4
CA-2015-137946,2015-09-01,2015-09-04,DB-13615,2
CA-2014-129924,2014-07-12,2014-07-17,AC-10420,2
CA-2015-128167,2015-06-22,2015-06-26,KL-16645,2
CA-2014-122336,2014-04-13,2014-04-17,JD-15895,4
US-2015-120712,2015-12-20,2015-12-24,CS-12130,3
CA-2017-169901,2017-06-15,2017-06-19,CC-12550,2
CA-2017-134306,2017-07-08,2017-07-12,TD-20995,4
CA-2016-129714,2016-09-01,2016-09-03,AB-10060,4
CA-2016-138520,2016-04-08,2016-04-13,JL-15505,4
CA-2016-130001,2016-04-23,2016-04-28,HK-14890,1
CA-2017-155698,2017-03-08,2017-03-11,VB-21745,1
CA-2017-144904,2017-09-25,2017-10-01,KW-16435,4
CA-2014-123344,2014-09-24,2014-09-29,JD-16060,2
CA-2016-155516,2016-10-21,2016-10-21,MK-17905,4
CA-2017-104745,2017-05-29,2017-06-04,GT-14755,3
US-2014-119137,2014-07-23,2014-07-27,AG-10900,2
US-2016-134656,2016-09-28,2016-10-01,MM-18280,3
US-2017-134481,2017-08-27,2017-09-01,AR-10405,4
CA-2015-130792,2015-04-28,2015-05-05,RA-19915,3
CA-2016-134775,2016-10-28,2016-10-29,AS-10285,2
CA-2015-125395,2015-06-26,2015-06-29,LA-16780,3
US-2015-168935,2015-11-27,2015-12-02,DO-13435,1
CA-2015-122756,2015-12-03,2015-12-07,DK-13225,4
CA-2014-115973,2014-11-24,2014-11-26,NG-18430,4
CA-2017-101798,2017-12-11,2017-12-15,MV-18190,4
US-2014-135972,2014-09-21,2014-09-23,JG-15115,2
US-2014-134971,2014-06-07,2014-06-10,BP-11095,3
CA-2017-102946,2017-06-30,2017-07-05,VP-21730,2
CA-2017-165603,2017-10-17,2017-10-19,SS-20140,4
CA-2015-122259,2015-10-31,2015-11-04,HP-14815,3
CA-2016-108987,2016-09-08,2016-09-10,AG-10675,3
CA-2014-113166,2014-12-24,2014-12-26,LF-17185,1
CA-2014-155208,2014-04-16,2014-04-20,SP-20650,1
CA-2017-117933,2017-12-24,2017-12-29,RF-19840,4
CA-2017-117457,2017-12-08,2017-12-12,KH-16510,2
CA-2017-142636,2017-11-03,2017-11-07,KC-16675,2
CA-2017-122105,2017-06-24,2017-06-28,CJ-12010,2
CA-2016-148796,2016-04-14,2016-04-18,PB-19150,2
CA-2017-154816,2017-11-06,2017-11-10,VB-21745,1
CA-2017-110478,2017-03-04,2017-03-09,SP-20860,2
CA-2014-142048,2014-06-22,2014-06-25,JE-15745,2
CA-2017-125388,2017-10-19,2017-10-23,MP-17965,4
CA-2017-155705,2017-08-21,2017-08-23,NF-18385,1
CA-2017-149160,2017-11-23,2017-11-26,JM-15265,3
CA-2014-101476,2014-09-12,2014-09-13,SD-20485,4
CA-2017-152275,2017-10-01,2017-10-08,KH-16630,3
US-2016-123750,2016-04-15,2016-04-21,RB-19795,1
CA-2016-127369,2016-06-06,2016-06-07,DB-13060,4
US-2014-150574,2014-12-19,2014-12-25,MK-18160,1
CA-2016-147375,2016-06-12,2016-06-14,PO-19180,3
CA-2017-130043,2017-09-15,2017-09-19,BB-11545,3
CA-2017-157252,2017-01-20,2017-01-23,CV-12805,4
CA-2016-115756,2016-09-05,2016-09-07,PK-19075,3
CA-2017-154214,2017-03-20,2017-03-25,TB-21595,3
CA-2016-166674,2016-04-01,2016-04-03,RB-19360,4
CA-2017-147277,2017-10-20,2017-10-24,EB-13705,4
CA-2016-100153,2016-12-13,2016-12-17,KH-16630,3
US-2014-110674,2014-02-12,2014-02-18,SC-20095,2
US-2016-157945,2016-09-26,2016-10-01,NF-18385,3
CA-2015-109638,2015-12-15,2015-12-22,JH-15985,2
CA-2016-109869,2016-04-22,2016-04-29,TN-21040,2
US-2015-101399,2015-01-17,2015-01-24,JS-15940,3
CA-2017-154907,2017-03-31,2017-04-04,DS-13180,3
US-2016-100419,2016-12-16,2016-12-20,CC-12670,3
CA-2015-154144,2015-12-20,2015-12-24,MH-17785,4
CA-2014-144666,2014-11-09,2014-11-11,JP-15520,2
CA-2016-103891,2016-07-12,2016-07-19,KH-16690,2
CA-2016-152632,2016-10-27,2016-11-02,JE-15475,4
CA-2016-100790,2016-06-26,2016-07-02,JG-15805,4
CA-2014-134677,2014-10-06,2014-10-10,XP-21865,2
CA-2014-127691,2014-07-22,2014-07-27,EM-14065,4
CA-2017-140963,2017-06-10,2017-06-13,MT-18070,2
CA-2014-154627,2014-10-29,2014-10-31,SA-20830,3
CA-2014-133753,2014-06-09,2014-06-13,CW-11905,3
CA-2014-113362,2014-09-14,2014-09-19,AJ-10960,4
CA-2016-169166,2016-05-09,2016-05-14,SS-20590,2
US-2016-120929,2016-03-18,2016-03-21,RO-19780,1
CA-2015-134782,2015-12-27,2015-12-31,MD-17350,1
CA-2016-126158,2016-07-25,2016-07-31,SC-20095,2
US-2016-105578,2016-05-30,2016-06-04,MY-17380,2
CA-2017-134978,2017-11-12,2017-11-15,EB-13705,4
CA-2015-145352,2015-03-16,2015-03-22,CM-12385,1
CA-2017-135307,2017-11-26,2017-11-27,LS-17245,3
CA-2016-106341,2016-10-20,2016-10-23,LF-17185,4
CA-2017-163405,2017-12-21,2017-12-25,BN-11515,2
CA-2017-127432,2017-01-22,2017-01-27,AD-10180,2
CA-2015-157812,2015-03-22,2015-03-26,DB-13210,3
CA-2017-145142,2017-01-23,2017-01-25,MC-17605,3
US-2016-139486,2016-05-21,2016-05-23,LH-17155,2
CA-2015-158792,2015-12-26,2016-01-02,BD-11605,4
CA-2017-113558,2017-10-21,2017-10-26,PH-18790,1
US-2015-138303,2015-09-03,2015-09-07,MG-18145,4
CA-2015-102848,2015-11-07,2015-11-09,KB-16240,2
US-2017-129441,2017-09-07,2017-09-11,JC-15340,2
CA-2016-168753,2016-05-29,2016-06-01,RL-19615,1
CA-2016-126613,2016-07-10,2016-07-16,AA-10375,2
US-2017-122637,2017-09-03,2017-09-08,EP-13915,3
CA-2015-147851,2015-12-03,2015-12-08,MP-17470,4
CA-2015-134894,2015-12-07,2015-12-11,DK-12985,1
CA-2014-140795,2014-02-01,2014-02-03,BD-11500,3
CA-2016-136924,2016-07-14,2016-07-17,ES-14080,2
US-2015-120161,2015-12-18,2015-12-23,LM-17065,4
CA-2014-103849,2014-05-11,2014-05-16,PG-18895,3
CA-2017-162929,2017-11-19,2017-11-22,AS-10135,4
CA-2015-113173,2015-11-15,2015-11-17,DK-13225,3
CA-2016-136406,2016-04-15,2016-04-17,BD-11320,2
CA-2017-112774,2017-09-11,2017-09-12,RC-19960,1
CA-2017-101945,2017-11-24,2017-11-28,GT-14710,3
CA-2017-100650,2017-06-29,2017-07-03,DK-13225,2
CA-2014-155852,2014-03-03,2014-03-07,AJ-10945,1
CA-2016-113243,2016-06-10,2016-06-15,OT-18730,2
CA-2017-118731,2017-11-20,2017-11-22,LP-17080,2
CA-2014-145576,2014-09-14,2014-09-18,CA-12775,1
CA-2015-130736,2015-12-07,2015-12-09,JF-15490,2
CA-2017-137099,2017-12-07,2017-12-10,FP-14320,2
CA-2017-156951,2017-10-01,2017-10-08,EB-13840,2
CA-2017-164826,2017-12-28,2018-01-04,JF-15415,4
CA-2016-127250,2016-11-03,2016-11-07,SF-20200,2
CA-2015-149713,2015-09-18,2015-09-22,TG-21640,2
CA-2017-118640,2017-07-20,2017-07-26,CS-11950,3
CA-2015-132906,2015-09-10,2015-09-14,CC-12145,2
CA-2017-145233,2017-12-01,2017-12-05,DV-13465,2
CA-2015-128139,2015-07-03,2015-07-09,BD-11725,1
US-2016-156986,2016-03-20,2016-03-24,ZC-21910,2
CA-2014-135405,2014-01-09,2014-01-13,MS-17830,3
CA-2014-131450,2014-08-08,2014-08-15,LR-16915,2
CA-2016-120180,2016-07-14,2016-07-16,TP-21130,4
US-2016-100720,2016-07-16,2016-07-21,CK-12205,4
CA-2014-149958,2014-03-15,2014-03-19,AS-10240,1
US-2014-105767,2014-05-23,2014-05-27,AR-10510,4
CA-2016-161816,2016-04-28,2016-05-01,NB-18655,3
CA-2016-121223,2016-09-11,2016-09-13,GD-14590,4
CA-2017-138611,2017-11-14,2017-11-17,CK-12595,4
CA-2017-117947,2017-08-18,2017-08-23,NG-18355,4
US-2014-111171,2014-12-26,2014-12-31,CA-12265,3
CA-2015-138009,2015-11-29,2015-12-03,SF-20965,3
CA-2017-163020,2017-09-15,2017-09-19,MO-17800,4
CA-2017-153787,2017-05-19,2017-05-23,AT-10735,2
CA-2017-133431,2017-12-17,2017-12-21,LC-17140,2
US-2016-135720,2016-12-11,2016-12-13,FM-14380,2
CA-2017-144694,2017-09-24,2017-09-26,BD-11605,1
CA-2015-168004,2015-10-04,2015-10-09,DJ-13420,1
US-2016-123470,2016-08-15,2016-08-21,ME-17725,2
CA-2016-115917,2016-05-20,2016-05-25,RB-19465,2
CA-2016-147067,2016-12-18,2016-12-22,JD-16150,3
CA-2017-167913,2017-07-30,2017-08-03,JL-15835,2
CA-2017-106103,2017-06-10,2017-06-15,SC-20305,3
US-2017-127719,2017-07-21,2017-07-25,TW-21025,4
CA-2017-126221,2017-12-30,2018-01-05,CC-12430,3
CA-2016-103947,2016-04-01,2016-04-08,BB-10990,2
CA-2016-160745,2016-12-11,2016-12-16,AR-10825,2
CA-2016-132661,2016-10-23,2016-10-29,SR-20740,4
CA-2017-140844,2017-06-19,2017-06-23,AR-10405,4
CA-2016-137239,2016-08-22,2016-08-28,CR-12730,4
US-2016-156097,2016-09-19,2016-09-19,EH-14125,3
CA-2015-146563,2015-08-24,2015-08-28,CB-12025,3
CA-2016-123666,2016-03-26,2016-03-30,SP-20545,4
CA-2016-143308,2016-11-04,2016-11-04,RC-19825,1
CA-2017-132682,2017-06-08,2017-06-10,TH-21235,3
CA-2014-156314,2014-12-24,2014-12-26,RP-19390,4
US-2017-106663,2017-06-09,2017-06-13,MO-17800,3
CA-2017-111178,2017-06-15,2017-06-22,TD-20995,3
CA-2017-130351,2017-12-05,2017-12-08,RB-19570,3
US-2017-119438,2017-03-18,2017-03-23,CD-11980,3
CA-2016-164511,2016-11-19,2016-11-24,DJ-13630,4
US-2017-168116,2017-11-04,2017-11-04,GT-14635,1
CA-2014-157784,2014-07-05,2014-07-08,MC-17845,1
CA-2017-161480,2017-12-25,2017-12-29,RA-19285,4
US-2014-117135,2014-06-21,2014-06-23,NP-18325,1
CA-2015-131534,2015-03-28,2015-04-02,AB-10165,2
CA-2015-119291,2015-05-14,2015-05-17,JO-15550,4
CA-2017-114552,2017-09-02,2017-09-08,Dl-13600,4
CA-2016-163755,2016-11-04,2016-11-08,AS-10285,2
CA-2015-142027,2015-04-09,2015-04-14,JK-15370,2
CA-2014-138527,2014-09-12,2014-09-17,BN-11470,1
CA-2014-112158,2014-12-02,2014-12-04,DP-13165,4
CA-2014-113887,2014-04-05,2014-04-07,TH-21550,4
CA-2017-146136,2017-09-03,2017-09-07,AP-10915,1
US-2017-100048,2017-05-19,2017-05-24,RS-19765,4
CA-2014-153150,2014-07-01,2014-07-06,Dl-13600,2
CA-2014-130092,2014-01-11,2014-01-14,SV-20365,4
CA-2017-108910,2017-09-24,2017-09-29,KC-16540,4
CA-2014-104472,2014-06-02,2014-06-07,CK-12325,2
CA-2016-112942,2016-02-13,2016-02-18,RD-19810,2
CA-2016-142335,2016-12-15,2016-12-19,MP-17965,3
CA-2014-117429,2014-10-07,2014-10-13,MR-17545,4
CA-2016-114713,2016-07-07,2016-07-12,SC-20695,1
CA-2017-144113,2017-09-16,2017-09-20,JF-15355,3
US-2016-150861,2016-12-03,2016-12-06,EG-13900,4
CA-2017-131954,2017-01-21,2017-01-25,DS-13030,2
CA-2014-132500,2014-09-08,2014-09-12,GZ-14470,2
CA-2014-112326,2014-01-04,2014-01-08,PO-19195,3
US-2016-146710,2016-08-27,2016-09-01,SS-20875,3
CA-2014-124429,2014-05-27,2014-05-27,MH-17785,2
CA-2016-150889,2016-03-20,2016-03-22,PB-19105,3
CA-2017-126074,2017-10-02,2017-10-06,RF-19735,3
CA-2016-110499,2016-04-07,2016-04-09,YC-21895,2
CA-2015-135272,2015-12-07,2015-12-12,MS-17830,2
CA-2016-140928,2016-09-18,2016-09-22,NB-18655,1
CA-2014-106803,2014-12-29,2015-01-02,DC-13285,3
CA-2017-117240,2017-07-23,2017-07-28,CP-12340,4
CA-2017-133333,2017-09-18,2017-09-22,BF-11020,3
CA-2015-112319,2015-08-31,2015-09-05,AR-10510,2
CA-2017-126046,2017-11-03,2017-11-07,JC-16105,1
CA-2015-114923,2015-02-08,2015-02-13,LH-17020,4
CA-2014-162775,2014-01-13,2014-01-15,CS-12250,1
CA-2014-106810,2014-05-14,2014-05-20,AJ-10795,1
CA-2016-157245,2016-05-19,2016-05-24,LE-16810,1
CA-2017-104220,2017-01-30,2017-02-05,BV-11245,3
CA-2014-165974,2014-06-29,2014-07-06,DL-12865,4
CA-2015-144267,2015-08-21,2015-08-23,NZ-18565,2
US-2015-157014,2015-10-03,2015-10-06,BM-11785,4
CA-2015-154921,2015-05-23,2015-05-28,EA-14035,1
CA-2017-129567,2017-03-17,2017-03-21,CL-12565,2
CA-2015-154620,2015-12-12,2015-12-16,LT-17110,2
CA-2015-115938,2015-06-26,2015-06-30,SA-20830,1
CA-2016-105256,2016-05-20,2016-05-20,JK-15730,1
CA-2014-156433,2014-09-20,2014-09-26,ES-14020,2
CA-2017-151428,2017-09-21,2017-09-26,RH-19495,3
CA-2015-124653,2015-12-24,2015-12-26,DB-13120,4
CA-2015-101910,2015-11-27,2015-12-03,CD-11920,2
CA-2017-105809,2017-02-20,2017-02-23,HW-14935,2
CA-2016-136133,2016-08-18,2016-08-23,HW-14935,4
CA-2016-115504,2016-03-12,2016-03-17,MC-18130,1
CA-2017-135783,2017-04-22,2017-04-24,GM-14440,2
CA-2014-134313,2014-11-01,2014-11-07,RA-19915,2
CA-2015-140921,2015-02-03,2015-02-05,AA-10375,3
CA-2014-151995,2014-10-13,2014-10-15,ZC-21910,2
CA-2017-143686,2017-05-14,2017-05-14,PJ-19015,2
CA-2015-106565,2015-03-20,2015-03-23,BW-11110,3
CA-2016-149370,2016-09-15,2016-09-19,DB-13210,4
CA-2014-140858,2014-06-28,2014-07-02,CA-12775,4
CA-2017-101434,2017-06-20,2017-06-27,TR-21325,4
US-2014-102071,2014-05-09,2014-05-15,PG-18820,2
CA-2017-126956,2017-08-21,2017-08-28,GT-14710,3
CA-2017-129462,2017-06-16,2017-06-21,JE-15745,1
CA-2016-165316,2016-07-23,2016-07-27,JB-15400,1
US-2014-115987,2014-09-08,2014-09-13,LH-17020,3
US-2017-156083,2017-11-04,2017-11-11,JL-15175,1
US-2016-137547,2016-03-07,2016-03-12,EB-13705,3
CA-2015-100454,2015-11-20,2015-11-25,BM-11650,4
CA-2016-161669,2016-11-07,2016-11-09,EM-14095,2
CA-2015-114300,2015-10-13,2015-10-17,AF-10885,1
CA-2017-107503,2017-01-01,2017-01-06,GA-14725,4
CA-2014-107755,2014-02-07,2014-02-12,CK-12760,4
CA-2016-152534,2016-06-20,2016-06-25,DP-13105,2
CA-2016-113747,2016-05-28,2016-06-04,VD-21670,1
CA-2016-123274,2016-02-19,2016-02-24,GT-14710,4
CA-2014-125612,2014-08-03,2014-08-08,BK-11260,4
CA-2017-161984,2017-04-10,2017-04-15,SJ-20125,4
CA-2014-133851,2014-06-09,2014-06-16,CM-12445,2
CA-2016-134474,2016-01-05,2016-01-07,AJ-10795,1
CA-2014-149020,2014-01-10,2014-01-15,AJ-10780,1
CA-2016-134362,2016-09-29,2016-10-02,LS-16945,4
CA-2014-136742,2014-04-06,2014-04-10,GP-14740,4
CA-2016-158099,2016-09-03,2016-09-05,PK-18910,4
CA-2015-131128,2015-10-19,2015-10-20,TB-21520,4
CA-2014-148488,2014-12-10,2014-12-15,SM-20005,4
CA-2017-114636,2017-08-25,2017-08-29,GA-14725,1
CA-2016-116736,2016-01-17,2016-01-21,CC-12430,4
US-2014-158638,2014-09-17,2014-09-21,AG-10765,4
CA-2017-111689,2017-11-30,2017-12-02,HP-14815,4
CA-2015-129098,2015-10-09,2015-10-13,DK-13090,1
US-2017-123463,2017-12-23,2017-12-23,GZ-14470,2
CA-2016-165148,2016-10-22,2016-10-24,PM-19135,3
CA-2014-134061,2014-04-29,2014-05-04,LL-16840,4
CA-2015-143602,2015-04-25,2015-04-28,JS-15595,2
CA-2017-115364,2017-06-26,2017-07-02,OT-18730,2
CA-2017-150707,2017-10-14,2017-10-19,EL-13735,4
CA-2014-104976,2014-12-09,2014-12-16,CK-12760,2
CA-2017-132934,2017-06-20,2017-06-26,JE-15475,4
CA-2017-133256,2017-06-26,2017-06-27,TH-21550,3
CA-2016-105494,2016-11-10,2016-11-12,PC-18745,2
CA-2016-140634,2016-10-03,2016-10-06,HL-15040,3
CA-2014-144407,2014-09-09,2014-09-15,MS-17365,3
CA-2017-160983,2017-10-29,2017-10-31,GB-14530,4
US-2016-114622,2016-04-10,2016-04-12,JR-16210,4
CA-2017-150959,2017-11-11,2017-11-13,TD-20995,3
CA-2017-132353,2017-09-15,2017-09-17,DB-13060,3
CA-2016-130477,2016-04-08,2016-04-12,LC-17140,2
CA-2017-143259,2017-12-30,2018-01-03,PO-18865,4
CA-2017-137596,2017-09-02,2017-09-07,BE-11335,3
CA-2015-133627,2015-05-31,2015-06-07,SC-20050,4
CA-2017-102519,2017-11-27,2017-11-29,BM-11650,3
US-2014-141215,2014-06-15,2014-06-21,KL-16555,3
CA-2016-165218,2016-03-05,2016-03-11,RW-19630,3
CA-2014-138296,2014-12-05,2014-12-12,RC-19825,1
CA-2015-111164,2015-04-11,2015-04-15,SE-20110,4
CA-2016-149797,2016-09-15,2016-09-20,AH-10075,4
CA-2014-132962,2014-09-13,2014-09-16,JM-15535,4
CA-2015-115091,2015-10-05,2015-10-09,JJ-15760,1
CA-2017-144932,2017-04-14,2017-04-17,AB-10165,4
CA-2017-114216,2017-09-02,2017-09-06,RK-19300,4
CA-2016-140081,2016-06-20,2016-06-24,CG-12040,4
US-2017-111745,2017-11-05,2017-11-06,RA-19885,2
CA-2015-148250,2015-12-13,2015-12-17,RP-19270,2
CA-2016-105760,2016-06-19,2016-06-20,KC-16255,2
CA-2016-142958,2016-12-13,2016-12-20,RW-19630,2
CA-2015-120880,2015-05-29,2015-06-03,JL-15850,2
